Mon_Year,Spices,Location,Grade,Price
Jan-23,CASSIA,CHENNAI,,297.5
Feb-23,CASSIA,CHENNAI,,281.87
Mar-23,CASSIA,CHENNAI,,264
Apr-23,CASSIA,CHENNAI,,258.75
May-23,CASSIA,CHENNAI,,255
Jun-23,CASSIA,CHENNAI,,256.25
Jul-23,CASSIA,CHENNAI,,272.5
Aug-23,CASSIA,CHENNAI,,247.5
Sep-23,CASSIA,CHENNAI,,253.5
Oct-23,CASSIA,CHENNAI,,285
Nov-23,CASSIA,CHENNAI,,261.25
Dec-23,CASSIA,CHENNAI,,291
Apr-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",104.7
May-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",
Jun-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",
Jul-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",94.25
Aug-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",100.41
Sep-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",105.6
Oct-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",102.4
Nov-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",99.63
Dec-21,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",118.06
Jan-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",123.44
Feb-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",139.24
Mar-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",138.93
Apr-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",142.4
May-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",140.13
Jun-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",147.5
Jul-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",159
Aug-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",175.43
Sep-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",167.65
Oct-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",180.43
Nov-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",184.18
Dec-22,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",181
Jan-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",179.37
Feb-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",148.75
Mar-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",170.5
Apr-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",172.5
May-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",168.75
Jun-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",165.75
Jul-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",167.33
Aug-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",166.43
Sep-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",166.66
Oct-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",165.81
Nov-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",161.56
Dec-23,CHILLIES,INDIA,"(COLDSTORAGE/NON-Cold",157.4
Jan-21,CLOVE,COCHIN,,514.42
Feb-21,CLOVE,COCHIN,,526.36
Mar-21,CLOVE,COCHIN,,556.6
Apr-21,CLOVE,COCHIN,,595.9
May-21,CLOVE,COCHIN,,600.62
Jun-21,CLOVE,COCHIN,,692.17
Jul-21,CLOVE,COCHIN,,715
Aug-21,CLOVE,COCHIN,,715
Sep-21,CLOVE,COCHIN,,722.61
Oct-21,CLOVE,COCHIN,,721.13
Nov-21,CLOVE,COCHIN,,716.36
Dec-21,CLOVE,COCHIN,,735.66
Jan-22,CLOVE,COCHIN,,737
Feb-22,CLOVE,COCHIN,,722.75
Mar-22,CLOVE,COCHIN,,722.1
Apr-22,CLOVE,COCHIN,,758.88
May-22,CLOVE,COCHIN,,768.96
Jun-22,CLOVE,COCHIN,,797.75
Jul-22,CLOVE,COCHIN,,826.97
Aug-22,CLOVE,COCHIN,,839.37
Sep-22,CLOVE,COCHIN,,846.87
Oct-22,CLOVE,COCHIN,,833.14
Nov-22,CLOVE,COCHIN,,837.4
Dec-22,CLOVE,COCHIN,,840
Jan-23,CLOVE,COCHIN,,773.33
Feb-23,CLOVE,COCHIN,,777
Mar-23,CLOVE,COCHIN,,803.33
Apr-23,CLOVE,COCHIN,,807.16
May-23,CLOVE,COCHIN,,807.96
Jun-23,CLOVE,COCHIN,,909.23
Jul-23,CLOVE,COCHIN,,934.13
Aug-23,CLOVE,COCHIN,,941.16
Sep-23,CLOVE,COCHIN,,921.6
Oct-23,CLOVE,COCHIN,,905
Nov-23,CLOVE,COCHIN,,916.55
Dec-23,CLOVE,COCHIN,,922.5
Jan-21,CORIANDER,CHENNAI,,87.5
Feb-21,CORIANDER,CHENNAI,,82.5
Mar-21,CORIANDER,CHENNAI,,82.5
Apr-21,CORIANDER,CHENNAI,,85.8
May-21,CORIANDER,CHENNAI,,83.12
Jun-21,CORIANDER,CHENNAI,,
Jul-21,CORIANDER,CHENNAI,,
Aug-21,CORIANDER,CHENNAI,,82.5
Sep-21,CORIANDER,CHENNAI,,86.5
Oct-21,CORIANDER,CHENNAI,,98.12
Nov-21,CORIANDER,CHENNAI,,101.25
Dec-21,CORIANDER,CHENNAI,,91
Jan-22,CORIANDER,CHENNAI,,93.75
Feb-22,CORIANDER,CHENNAI,,105.62
Mar-22,CORIANDER,CHENNAI,,120
Apr-22,CORIANDER,CHENNAI,,129.62
May-22,CORIANDER,CHENNAI,,133.75
Jun-22,CORIANDER,CHENNAI,,131.66
Jul-22,CORIANDER,CHENNAI,,131
Aug-22,CORIANDER,CHENNAI,,132.5
Sep-22,CORIANDER,CHENNAI,,134
Oct-22,CORIANDER,CHENNAI,,126.25
Nov-22,CORIANDER,CHENNAI,,127.37
Dec-22,CORIANDER,CHENNAI,,114
Jan-23,CORIANDER,CHENNAI,,95
Feb-23,CORIANDER,CHENNAI,,85.62
Mar-23,CORIANDER,CHENNAI,,79.5
Apr-23,CORIANDER,CHENNAI,,75.62
May-23,CORIANDER,CHENNAI,,72.5
Jun-23,CORIANDER,CHENNAI,,77.5
Jul-23,CORIANDER,CHENNAI,,83
Aug-23,CORIANDER,CHENNAI,,96.25
Sep-23,CORIANDER,CHENNAI,,89
Oct-23,CORIANDER,CHENNAI,,100
Nov-23,CORIANDER,CHENNAI,,118.12
Dec-23,CORIANDER,CHENNAI,,122.5
Apr-21,CORIANDER,RAMGANJ,,57.91
May-21,CORIANDER,RAMGANJ,,56.29
Jun-21,CORIANDER,RAMGANJ,,58.56
Jul-21,CORIANDER,RAMGANJ,,60.4
Aug-21,CORIANDER,RAMGANJ,,64.58
Sep-21,CORIANDER,RAMGANJ,,66.1
Oct-21,CORIANDER,RAMGANJ,,64.56
Nov-21,CORIANDER,RAMGANJ,,73.29
Dec-21,CORIANDER,RAMGANJ,,76.56
